realDonaldTrump,1226324080170848256,2020-02-09 01:56:59,b'Thank you to everyone for all of the great reviews I have gotten on my State of the Union Speech. It was an immense\xe2\x80\xa6 https://t.co/7FC4xFMkrq'
realDonaldTrump,1226314556399591424,2020-02-09 01:19:08,"b'...But, just like the people of West Virginia will no longer look at weak &amp; pathetic Joe Manchin the same (I got th\xe2\x80\xa6 https://t.co/aR5JpmHIOD'"
realDonaldTrump,1226314543334350848,2020-02-09 01:19:05,"b'Can\xe2\x80\x99t say I mind the fact that the great people of West Virginia are furious at their puppet Democrat Senator, Joe\xe2\x80\xa6 https://t.co/zOkh9b6jqe'"
realDonaldTrump,1226308565557706753,2020-02-09 00:55:20,b'Law Enforcement has been notified. Be careful tough guys who you play with! https://t.co/1Pq0hOrzy2'
realDonaldTrump,1226296531113955331,2020-02-09 00:07:31,"b'Great lineup on @FoxNews tonight with @JesseBWatters, @JudgeJeanine and &amp; @greggutfeld. All starts at 8:00 P.M. Wil\xe2\x80\xa6 https://t.co/nkeaZqLm1j'"
realDonaldTrump,1226295073182244864,2020-02-09 00:01:43,b'RT @WhiteHouse: 7 MILLION brand new jobs under President @realDonaldTrump! \xf0\x9f\x92\xaa\n\nMore Trump Economy RESULTS: https://t.co/Vp0aWvbot1'
realDonaldTrump,1226294786765750272,2020-02-09 00:00:35,b'RT @GOPChairwoman: Democrats have only used their House majority to conduct witch hunts and smear @realDonaldTrump.\n \n@RepJeffDuncan is rig\xe2\x80\xa6'
realDonaldTrump,1226293358026526725,2020-02-08 23:54:54,b'RT @parscale: Karma'
realDonaldTrump,1226293300640075776,2020-02-08 23:54:40,b'RT @DonaldJTrumpJr: It\xe2\x80\x99s an honor to be in the fight with you dad and I\xe2\x80\x99d do it 1000 times over to make sure that you can keep delivering o\xe2\x80\xa6'
realDonaldTrump,1226293097832812544,2020-02-08 23:53:52,b'RT @kayleighmcenany: .\xe2\x81\xa6@TeamTrump\xe2\x81\xa9 is coming to Colorado for an \xe2\x81\xa6@realDonaldTrump\xe2\x81\xa9 rally! \n\nJoin us on Feb. 20th! \xe2\xac\x87\xef\xb8\x8f https://t.co/7RDISi3PjI'
realDonaldTrump,1226293043696951298,2020-02-08 23:53:39,"b""RT @GeauxScalise: This Week: @realDonaldTrump was the only winner in Iowa.\n\nNext Week: I'm headed to New Hampshire with @TeamTrump to keep\xe2\x80\xa6"""
realDonaldTrump,1226292984909529089,2020-02-08 23:53:25,b'RT @ScottforFlorida: Looking forward to joining @TeamTrump in New Hampshire next week! \n\nThe message is simple: it\xe2\x80\x99s optimism vs. socialism\xe2\x80\xa6'
realDonaldTrump,1226292851375562752,2020-02-08 23:52:53,b'RT @kayleighmcenany: Watching this Democrat debate makes me so confident that @TeamTrump &amp; @realDonaldTrump will be celebrating on November\xe2\x80\xa6'
